location_key,,Unnamed: 0,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_AL,location_key_US_KY,location_key_US_MS,location_key_US_TN,1_day_shift,2_day_shift,3_day_shift,7_day_shift,7_day_avg
US_AL,21142,21142,2021-04-19,East South Central,US_AL,111.0,0.0,522512.0,10790.0,64.0,49074.0,364.0,113.0,15.355556,7.255556,22.094444,0.0,6.412698,54.77029,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,37.96,2464.9999999999995,1483779.0,3204.0,946333.0,5287.0,2297563.0,2255.0,450055.0,3301.0,1125770.0,942.0,422561.0,1984.0,1099762.0,7.0,73672.0,2.0,72031.0,2021.0,4.0,19.0,1,0,0,0,270.0,508.0,422.0,172.0,491.57142857142856
US_AL,21193,21193,2021-04-20,East South Central,US_AL,1443.0,8.0,523955.0,10798.0,78.0,49152.0,374.0,126.0,16.288889,9.177778,24.605556,0.0254000000000003,8.420635,58.589559,1.0,1.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,37.96,0.0,1483779.0,0.0,946333.0,0.0,2297563.0,0.0,450055.0,0.0,1125770.0,2.273736754432321e-13,422561.0,0.0,1099762.0,-5.684341886080803e-14,73672.0,0.0,72031.0,2021.0,4.0,20.0,1,0,0,0,111.0,270.0,508.0,1432.0,493.14285714285717
US_AL,21244,21244,2021-04-21,East South Central,US_AL,412.0,9.0,524367.0,10807.0,69.0,49221.0,388.0,120.0,12.611111,8.533333,22.677778,0.0,4.888889,59.224738,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,23337.0,1507116.0,41046.0,987379.0,62964.0,2360527.0,25144.0,475199.0,36725.0,1162495.0,15592.999999999998,438154.0,25942.0,1125704.0,307.0,73979.0,297.0,72328.0,2021.0,4.0,21.0,1,0,0,0,1443.0,111.0,270.0,277.0,512.4285714285714
US_AL,21295,21295,2021-04-22,East South Central,US_AL,682.0,17.0,525049.0,10824.0,69.0,49290.0,390.0,125.0,9.855556,1.5222220000000002,18.75,0.0,-0.3015869999999996,48.655726,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,11812.0,1518928.0,23036.0,1010415.0,33777.0,2394304.0,13797.0,488996.0,19601.0,1182096.0,9113.0,447267.0,14069.0,1139773.0,125.0,74104.0,106.99999999999994,72435.0,2021.0,4.0,22.0,1,0,0,0,412.0,1443.0,111.0,421.0,549.7142857142857
US_AL,21346,21346,2021-04-23,East South Central,US_AL,428.0,16.0,525477.0,10840.0,57.0,49347.0,354.0,123.0,13.422222,5.661111,21.833333,0.0254000000000003,4.34127,53.372803,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,12813.0,1531741.0,23581.0,1033996.0,35325.0,2429629.0,12467.0,501463.0,17981.0,1200077.0,11029.0,458296.0,17270.0,1157043.0,85.0,74189.0,74.0,72509.0,2021.0,4.0,23.0,1,0,0,0,682.0,412.0,1443.0,422.0,550.5714285714286
US_AL,21397,21397,2021-04-24,East South Central,US_AL,421.0,11.0,525898.0,10851.0,63.0,49410.0,341.0,129.0,18.555556,11.661111,27.3,20.912667,13.52381,72.241692,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,11803.0,1543544.0,20867.0,1054863.0,31881.0,2461510.0,11106.0,512569.0,16946.0,1217023.0,9724.0,468020.0,14899.0,1171942.0,37.0,74226.0,36.0,72545.0,2021.0,4.0,24.0,1,0,0,0,428.0,682.0,412.0,508.0,538.1428571428571
US_AL,21448,21448,2021-04-25,East South Central,US_AL,233.0,0.0,526131.0,10851.0,53.0,49463.0,347.0,129.0,18.038889,11.994444,24.883333,25.4254,10.47619,61.442499,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,3115.0,1546659.0,7661.0,1062524.0,9899.0,2471409.0,4574.0,517143.0,5256.0,1222279.0,3069.0,471089.0,4637.0,1176579.0,14.0,74240.0,6.0,72551.0,2021.0,4.0,25.0,1,0,0,0,421.0,428.0,682.0,270.0,532.8571428571429
US_AL,21499,21499,2021-04-26,East South Central,US_AL,217.0,1.0,526348.0,10852.0,53.0,49516.0,333.0,123.0,16.5,7.838889,26.255556,0.0,9.333333,61.378504,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,3123.0,1549782.0,4135.0,1066659.0,6818.0,2478227.0,2899.0,520042.0,3975.0,1226254.0,1233.0,472322.0,2843.0,1179422.0,3.0,74243.0,0.0,72551.0,2021.0,4.0,26.0,1,0,0,0,233.0,421.0,428.0,111.0,548.0
US_AL,21550,21550,2021-04-27,East South Central,US_AL,359.0,2.0,526707.0,10854.0,57.0,49573.0,339.0,123.0,19.866667,11.366667,28.572222,0.0,13.388889,65.263654,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,8870.0,1558652.0,13156.0,1079815.0,21467.0,2499694.0,7694.0,527736.0,12767.0,1239021.0,5349.0,477671.0,8588.0,1188010.0,113.0,74356.0,112.0,72663.0,2021.0,4.0,27.0,1,0,0,0,217.0,233.0,421.0,1443.0,393.14285714285717
US_AL,21601,21601,2021-04-28,East South Central,US_AL,376.0,25.0,527083.0,10879.0,51.0,49624.0,328.0,124.0,22.661111,16.788889,28.705556,0.0,16.134921,66.483775,1.0,0.0,1.0,-2.220446049250313e-16,-5.551115123125783e-17,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,34.26,9663.0,1568315.0,19005.000000000004,1098820.0,28121.0,2527815.0,9052.0,536788.0,13224.0,1252245.0,9691.000000000002,487362.0,14646.0,1202656.0,256.0,74612.0,251.0,72914.0,2021.0,4.0,28.0,1,0,0,0,359.0,217.0,233.0,412.0,388.0
