,date,region,location_key,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,year,month,day,location_key_US_AR,location_key_US_LA,location_key_US_OK,location_key_US_TX,1_day_shift,7_day_shift,7_day_avg
16184,2021-08-28,West South Central,US_LA,0.0,0.0,679796.0,12359.0,293.0,55214.0,2558.0,832.0,26.494444,22.966667,32.572222,2.0955,22.790123,79.881966,1.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,50.46,0.0,2280885.0,0.0,1900423.0,0.0,4147003.0,0.0,967950.0,0.0,2211887.0,0.0,787530.0,0.0,1782394.0,0.0,144334.0,0.0,151409.0,2021.0,8.0,28.0,0,1,0,0,3428.0,0.0,4268.714285714285
16185,2021-08-29,West South Central,US_LA,0.0,0.0,679796.0,12359.0,229.0,55443.0,2492.0,823.0,25.9,22.883333,31.0,2.991556,23.08642,84.266106,1.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,50.46,18331.000000000004,2299216.0,25577.0,1926000.0,47487.0,4194490.0,17553.0,985503.0,33171.0,2245058.0,7206.0,794736.0,13404.0,1795798.0,816.0,145150.0,906.0,152315.0,2021.0,8.0,29.0,0,1,0,0,0.0,0.0,4268.714285714285
16186,2021-08-30,West South Central,US_LA,0.0,0.0,679796.0,12359.0,203.0,55646.0,2505.0,830.0,25.777778,23.661111,29.994444,6.7818000000000005,22.259259,81.914864,1.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,50.46,145.0,2299361.0,95.0,1926095.0,87.0,4194577.0,46.0,985549.0,3.0000000000009095,2245061.0,45.0,794781.0,83.0,1795881.0,4.0,145154.0,1.0,152316.0,2021.0,8.0,30.0,0,1,0,0,0.0,10889.0,2713.1428571428573
16187,2021-08-31,West South Central,US_LA,0.0,0.0,679796.0,12359.0,264.0,55910.0,2516.0,817.0,27.305556,22.244444,34.511111,2.116667,22.290123,74.09062,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,185.0,2299546.0,95.0,1926190.0,41.0,4194618.0,51.0,985600.0,5.0,2245066.0,40.0,794821.0,34.0,1795915.0,4.0,145158.0,2.0,152318.0,2021.0,8.0,31.0,0,1,0,0,0.0,3814.0,2168.285714285714
16188,2021-09-01,West South Central,US_LA,12380.0,223.0,692176.0,12582.0,248.0,56158.0,2498.0,816.0,27.577778,23.333333,34.972222,9.623778000000001,23.703704,78.964714,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,5183.0,2304729.0,8577.0,1934767.0,14244.0,4208862.0,5415.0,991015.0,9157.0,2254223.0,3087.0,797908.0,5010.0,1800925.0,75.0,145233.0,77.0,152395.0,2021.0,9.0,1.0,0,1,0,0,0.0,6619.0,2991.285714285714
16189,2021-09-02,West South Central,US_LA,2099.0,74.0,694275.0,12656.0,206.0,56364.0,2355.0,781.0,26.75,21.905556,34.75,3.386667,22.67284,78.036662,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,333.0,2305062.0,197.0,1934964.0,196.0,4209058.0,59.0,991074.0,39.0,2254262.0,121.0,798029.0,145.0,1801070.0,17.0,145250.0,12.0,152407.0,2021.0,9.0,2.0,0,1,0,0,12380.0,5131.0,2558.1428571428573
16190,2021-09-03,West South Central,US_LA,2625.0,51.0,696900.0,12707.0,195.0,56559.0,2304.0,736.0,26.805556,21.922222,34.027778,2.314222,22.598765,77.661983,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,13917.0,2318979.0,19092.0,1954056.0,37472.0,4246530.0,12990.0,1004064.0,26485.0,2280747.0,5538.0,803567.0,10318.0,1811388.0,561.0,145811.0,655.0,153062.0,2021.0,9.0,3.0,0,1,0,0,2099.0,3428.0,2443.4285714285716
16191,2021-09-04,West South Central,US_LA,0.0,0.0,696900.0,12707.0,206.0,56765.0,2195.0,701.0,27.411111,22.216667,34.177778,2.4892,22.635802,74.966129,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,6454.0,2325433.0,12158.0,1966214.0,19571.0,4266101.0,7093.0,1011157.0,11958.0,2292705.0,4860.0,808427.0,7397.0,1818785.0,204.0,146015.0,208.99999999999997,153271.0,2021.0,9.0,4.0,0,1,0,0,2625.0,0.0,2443.4285714285716
16192,2021-09-05,West South Central,US_LA,0.0,0.0,696900.0,12707.0,148.0,56913.0,2125.0,684.0,27.922222,22.894444,34.822222,0.17779999999999974,23.216049,75.38381,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,0.0,2325433.0,0.0,1966214.0,0.0,4266101.0,0.0,1011157.0,0.0,2292705.0,0.0,808427.0,0.0,1818785.0,0.0,146015.0,0.0,153271.0,2021.0,9.0,5.0,0,1,0,0,0.0,0.0,2443.4285714285716
16193,2021-09-06,West South Central,US_LA,0.0,0.0,696900.0,12707.0,166.0,57079.0,2119.0,674.0,26.038889000000005,23.355556,30.533333,8.128,23.024691,83.487382,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,2.0,5.0,53.24,0.0,2325433.0,0.0,1966214.0,0.0,4266101.0,0.0,1011157.0,0.0,2292705.0,0.0,808427.0,0.0,1818785.0,0.0,146015.0,0.0,153271.0,2021.0,9.0,6.0,0,1,0,0,0.0,0.0,2443.4285714285716
