,date,region,new_confirmed,1_day_shift,7_day_avg,2_day_shift,3_day_shift,7_day_shift
2386,2020-10-13,East South Central,3738.0,4633.0,4700.714285714285,4025.0,4653.0,3476.0
2395,2020-10-14,East South Central,4691.0,3738.0,4377.714285714285,4633.0,4025.0,6952.0
2404,2020-10-15,East South Central,5978.0,4691.0,4661.0,3738.0,4633.0,3995.0
2413,2020-10-16,East South Central,4305.0,5978.0,4574.714285714285,4691.0,3738.0,4909.0
2422,2020-10-17,East South Central,5976.0,4305.0,4763.714285714285,5978.0,4691.0,4653.0
2431,2020-10-18,East South Central,4379.0,5976.0,4814.285714285715,4305.0,5978.0,4025.0
2440,2020-10-19,East South Central,5402.0,4379.0,4924.142857142857,5976.0,4305.0,4633.0
2449,2020-10-20,East South Central,4578.0,5402.0,5044.142857142857,4379.0,5976.0,3738.0
2458,2020-10-21,East South Central,5691.0,4578.0,5187.0,5402.0,4379.0,4691.0
2467,2020-10-22,East South Central,5697.0,5691.0,5146.857142857143,4578.0,5402.0,5978.0
2476,2020-10-23,East South Central,9702.0,5697.0,5917.857142857143,5691.0,4578.0,4305.0
2485,2020-10-24,East South Central,7878.0,9702.0,6189.571428571428,5697.0,5691.0,5976.0
2494,2020-10-25,East South Central,6041.0,7878.0,6427.0,9702.0,5697.0,4379.0
2503,2020-10-26,East South Central,4845.0,6041.0,6347.428571428572,7878.0,9702.0,5402.0
2512,2020-10-27,East South Central,5648.0,4845.0,6500.285714285715,6041.0,7878.0,4578.0
2521,2020-10-28,East South Central,6572.0,5648.0,6626.142857142857,4845.0,6041.0,5691.0
2530,2020-10-29,East South Central,6884.0,6572.0,6795.714285714285,5648.0,4845.0,5697.0
2539,2020-10-30,East South Central,6641.0,6884.0,6358.428571428572,6572.0,5648.0,9702.0
2548,2020-10-31,East South Central,5774.0,6641.0,6057.857142857143,6884.0,6572.0,7878.0
2557,2020-11-01,East South Central,4217.0,5774.0,5797.285714285715,6641.0,6884.0,6041.0
2566,2020-11-02,East South Central,5461.0,4217.0,5885.285714285715,5774.0,6641.0,4845.0
2575,2020-11-03,East South Central,5160.0,5461.0,5815.571428571428,4217.0,5774.0,5648.0
2584,2020-11-04,East South Central,7689.0,5160.0,5975.142857142857,5461.0,4217.0,6572.0
2593,2020-11-05,East South Central,7230.0,7689.0,6024.571428571428,5160.0,5461.0,6884.0
