date,region,new_confirmed
2020-03-17,West South Central,36.0
2020-03-18,East North Central,1069.0
2020-03-18,East South Central,52.0
2020-03-18,Mid-Atlantic,1208.0
2020-03-18,Mountain,70.0
2020-03-18,New England,102.0
2020-03-18,Pacific,443.0
2020-03-18,South Atlantic,221.0
2020-03-18,West North Central,43.0
2020-03-18,West South Central,145.0
2020-03-19,East North Central,980.0
2020-03-19,East South Central,103.0
2020-03-19,Mid-Atlantic,2134.0
2020-03-19,Mountain,131.0
2020-03-19,New England,134.0
2020-03-19,Pacific,614.0
2020-03-19,South Atlantic,308.0
2020-03-19,West North Central,68.0
2020-03-19,West South Central,161.0
2020-03-20,East North Central,1240.0
2020-03-20,East South Central,129.0
2020-03-20,Mid-Atlantic,3181.0
2020-03-20,Mountain,172.0
2020-03-20,New England,218.0
2020-03-20,Pacific,453.0
2020-03-20,South Atlantic,352.0
2020-03-20,West North Central,69.0
2020-03-20,West South Central,248.0
2020-03-21,East North Central,1177.0
2020-03-21,East South Central,253.0
2020-03-21,Mid-Atlantic,3794.0
2020-03-21,Mountain,215.0
2020-03-21,New England,168.0
2020-03-21,Pacific,597.0
2020-03-21,South Atlantic,458.0
2020-03-21,West North Central,98.0
2020-03-21,West South Central,193.0
2020-03-22,East North Central,1384.0
2020-03-22,East South Central,260.0
2020-03-22,Mid-Atlantic,5507.0
2020-03-22,Mountain,272.0
2020-03-22,New England,212.0
2020-03-22,Pacific,585.0
2020-03-22,South Atlantic,563.0
2020-03-22,West North Central,87.0
2020-03-22,West South Central,346.0
2020-03-23,East North Central,1654.0
2020-03-23,East South Central,186.0
2020-03-23,Mid-Atlantic,6802.0
2020-03-23,Mountain,370.0
2020-03-23,New England,404.0
2020-03-23,Pacific,453.0
2020-03-23,South Atlantic,758.0
2020-03-23,West North Central,181.0
2020-03-23,West South Central,382.0
2020-03-24,East North Central,1642.0
2020-03-24,East South Central,191.0
2020-03-24,Mid-Atlantic,5828.0
2020-03-24,Mountain,479.0
2020-03-24,New England,650.0
2020-03-24,Pacific,619.0
2020-03-24,South Atlantic,710.0
2020-03-24,West North Central,93.0
