,region,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,rainfall_mm,average_temperature_celsius,dew_point,relative_humidity,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,minimum_temperature_celsius,maximum_temperature_celsius,1_day_shift,7_day_avg,6_day_shift,7_day_shift
6002,West North Central,2020-04-02,563.0,8.0,4626.000000000116,71.0,71.0,2456.850000000006,2015.38,613.76,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,8.6614,5.013205428571429,-0.2729939999999998,69.82703857142857,3.0,2.142857142857143,1.8571428571428568,3.4285714285714284,0.4285714285714285,1.0,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,0.0,0.0,68.98,-12.983333000000002,23.506944,498.0,434.42857142857144,365.0,315.0
6003,West North Central,2020-04-03,564.0,9.0,5190.000000000116,80.0,50.000000000000014,1988.6399999999849,1885.83,640.24,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,11.798501,-0.8921515714285716,-5.011419714285714,73.83951857142857,3.0,2.142857142857143,1.8571428571428568,3.4285714285714284,0.4285714285714285,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,0.0,0.0,70.56857142857143,-13.044444000000002,19.805556,563.0,462.85714285714283,378.0,365.0
6004,West North Central,2020-04-04,462.0,14.0,5652.0,94.0,63.000000000000014,2059.229999999996,1989.73,677.2,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,7.926210999999999,-1.1573191428571423,-5.758134857142857,71.41216414285714,3.0,2.142857142857143,1.8571428571428568,3.4285714285714284,0.4285714285714285,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.0,0.0,71.03142857142858,-12.772222,12.172222,564.0,474.85714285714283,185.0,378.0
6005,West North Central,2020-04-05,357.0,26.0,6009.0,120.0,49.000000000000014,2489.2200000000084,1950.73,677.24,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,1.2065,4.830202857142857,-1.0639328571428572,66.86557957142857,3.0,2.142857142857143,1.8571428571428568,3.4285714285714284,0.4285714285714285,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.0,0.0,71.03142857142858,-6.644443999999999,16.672222,462.0,499.42857142857144,486.0,185.0
6006,West North Central,2020-04-06,756.0,14.0,6765.0,134.0,52.00000000000003,2731.9500000000044,2221.09,689.94,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,0.282222,11.219942,5.987701571428572,70.75777842857143,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.0,0.0,72.48714285714286,-3.1166670000000005,25.808642,357.0,538.0,566.0,486.0
6007,West North Central,2020-04-07,656.0,26.0,7420.999999999884,160.0,59.000000000000014,2972.2400000000125,2225.02,705.07,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,5.716411000000001,15.205681571428572,7.896,63.121897857142855,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.1428571428571428,0.0,72.48714285714286,-2.2388889999999995,29.049383,756.0,550.8571428571429,498.0,566.0
6008,West North Central,2020-04-08,794.0,24.0,8215.0,184.0,33.000000000000014,3065.0899999999965,2209.87,730.12,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,3.826933,13.008705,3.182700285714286,52.01965485714286,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.1428571428571428,0.0,72.75,-1.0999999999999996,31.904762,656.0,593.1428571428571,563.0,498.0
6009,West North Central,2020-04-09,620.0,39.0,8835.0,223.0,-130.0,2673.0599999999977,2132.92,654.49,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,0.4444999999999999,5.266125000000001,-4.742416142857143,49.29121042857143,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.1428571428571428,0.0,72.75,-7.588889000000001,23.603175,794.0,601.2857142857143,564.0,563.0
6010,West North Central,2020-04-10,699.0,38.0,9534.0,261.0,39.0,2424.6699999999983,2100.9500000000003,638.14,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,0.1382890000000001,4.228385571428571,-6.798469428571429,45.11778357142857,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.1428571428571428,0.0,72.75,-5.888888999999998,20.809524,620.0,620.5714285714286,462.0,564.0
6011,West North Central,2020-04-11,693.0,31.0,10227.000000000116,292.0,46.0,3028.600000000013,2185.63,678.6899999999999,0.0,0.0,0.0,-1.6298145055770872e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0372681319713595e-10,0.0,0.0,1.346602,8.739203857142856,-0.2434651428571429,53.92239157142858,3.0,2.4285714285714284,1.8571428571428568,3.4285714285714284,0.5714285714285714,1.4285714285714286,1.1428571428571428,3.0,2.0,1.2857142857142858,2.0,0.9999999999999998,1.0,1.1428571428571428,0.0,72.75,-3.0987649999999998,28.975309,699.0,653.5714285714286,357.0,462.0
